Date,PET
2022-03-13,2.509
2022-03-14,3.657
2022-03-15,4.202
2022-03-16,4.815
2022-03-17,4.896
2022-03-18,5.064
2022-03-19,3.722
2022-03-20,4.202
2022-03-21,5.064
2022-03-22,6.483
2022-03-23,4.499
2022-03-24,4.13
2022-03-25,4.13
2022-03-26,4.348
2022-03-27,3.854
2022-03-28,4.734
2022-03-29,5.783
2022-03-30,7.49
2022-03-31,4.654
2022-04-01,4.229
2022-04-02,4.53
2022-04-03,4.687
2022-04-04,5.455
2022-04-05,6.025
2022-04-06,7.089
2022-04-07,5.187
2022-04-08,3.679
2022-04-09,3.877
2022-04-10,4.849
2022-04-11,5.829
2022-04-12,7.558
2022-04-13,7.558
2022-04-14,5.364
2022-04-15,5.546
2022-04-16,5.829
2022-04-17,6.025
2022-04-18,4.453
2022-04-19,3.877
2022-04-20,4.687
2022-04-21,7.089
2022-04-22,7.089
2022-04-23,7.927
2022-04-24,7.558
2022-04-25,7.803
2022-04-26,5.275
2022-04-27,5.187
2022-04-28,5.546
2022-04-29,7.089
2022-04-30,7.803
2022-05-01,8.054
2022-05-02,7.803
2022-05-03,8.989
2022-05-04,9.273
2022-05-05,9.273
2022-05-06,7.803
2022-05-07,6.025
2022-05-08,6.125
2022-05-09,7.205
2022-05-10,7.928
2022-05-11,8.183
2022-05-12,9.273
2022-05-13,8.578
2022-05-14,8.578
2022-05-15,9.273
2022-05-16,8.444
2022-05-17,7.68
2022-05-18,8.313
2022-05-19,11.141
2022-05-20,10.646
2022-05-21,10.809
2022-05-22,9.712
2022-05-23,8.054
2022-05-24,8.578
2022-05-25,8.054
2022-05-26,7.205
2022-05-27,7.205
2022-05-28,7.09
2022-05-29,8.183
2022-05-30,9.863
2022-05-31,9.863
2022-06-01,9.272
2022-06-02,9.415
2022-06-03,7.22
2022-06-04,7.453
2022-06-05,8.32
2022-06-06,8.853
2022-06-07,9.707
2022-06-08,8.853
2022-06-09,8.191
2022-06-10,7.814
2022-06-11,8.583
2022-06-12,9.415
2022-06-13,10.793
2022-06-14,10.956
2022-06-15,10.473
2022-06-16,10.008
2022-06-17,10.316
2022-06-18,9.56
2022-06-19,8.583
2022-06-20,9.56
2022-06-21,10.008
2022-06-22,10.793
2022-06-23,10.956
2022-06-24,10.161
2022-06-25,11.289
2022-06-26,10.632
2022-06-27,10.008
2022-06-28,9.415
2022-06-29,9.56
2022-06-30,9.415
2022-07-01,9.156
2022-07-02,9.296
2022-07-03,9.156
2022-07-04,9.582
2022-07-05,9.582
2022-07-06,9.875
2022-07-07,10.484
2022-07-08,10.329
2022-07-09,10.176
2022-07-10,8.354
2022-07-11,8.747
2022-07-12,9.296
2022-07-13,8.747
2022-07-14,8.226
2022-07-15,8.747
2022-07-16,8.882
2022-07-17,9.296
2022-07-18,8.747
2022-07-19,8.747
2022-07-20,10.176
2022-07-21,9.156
2022-07-22,8.354
2022-07-23,9.018
2022-07-24,9.582
2022-07-25,9.296
2022-07-26,9.018
2022-07-27,9.727
2022-07-28,10.176
2022-07-29,9.875
2022-07-30,9.018
2022-07-31,9.018
2022-08-01,8.95
2022-08-02,9.227
2022-08-03,8.814
2022-08-04,9.088
2022-08-05,9.227
2022-08-06,9.512
2022-08-07,9.227
2022-08-08,8.95
2022-08-09,9.088
2022-08-10,8.95
2022-08-11,8.547
2022-08-12,9.088
2022-08-13,8.035
2022-08-14,8.547
2022-08-15,9.227
2022-08-16,7.911
2022-08-17,6.977
2022-08-18,7.788
2022-08-19,8.16
2022-08-20,8.417
2022-08-21,8.16
2022-08-22,7.201
2022-08-23,7.668
2022-08-24,7.201
2022-08-25,8.035
2022-08-26,8.95
2022-08-27,8.95
